date,observed,trend,seasonal,residual
2012-01-15,-1.1,,-8.377738224807654,
2012-01-16,-0.5499999999999999,,-7.445181147182084,
2012-01-17,1.65,,-7.63079758553825,
2012-01-18,-1.4,,-8.387920873209483,
2012-01-19,-1.95,,-7.193765622067932,
2012-01-20,3.05,,-8.415044160880713,
2012-01-21,5.800000000000001,,-7.948879777319073,
2012-01-22,4.45,,-9.601162882341903,
2012-01-23,4.7,,-7.405957402889848,
2012-01-24,6.1,,-5.639564708825921,
2012-01-25,6.65,,-4.804404891474324,
2012-01-26,5.0,,-4.236687996497156,
2012-01-27,2.25,,-5.537920873209485,
2012-01-28,3.65,,-6.0907519234377965,
2012-01-29,6.65,,-5.461436854944645,
2012-01-30,7.2,,-4.920066991930945,
2012-01-31,7.75,,-6.210477950835053,
2012-02-01,6.1,,-6.032487083255145,
2012-02-02,5.0,,-5.9376012385062875,
2012-02-03,8.3,,-6.956779320698068,
2012-02-04,10.3,,-7.402167448551948,
2012-02-05,7.8,,-7.27810352161131,
2012-02-06,8.9,,-7.392989366360167,
2012-02-07,11.7,,-7.196551010195784,
2012-02-08,7.5,,-7.331436854944642,
2012-02-09,9.45,,-6.3834916494651885,
2012-02-10,9.75,,-6.4201126540313975,
2012-02-11,7.25,,-5.472441421154686,
2012-02-12,6.65,,-4.638834115218614,
2012-02-13,5.800000000000001,,-2.154724526177517,
2012-02-14,3.9,,-2.867053293300804,
2012-02-15,3.9,,-3.7948158503784315,
2012-02-16,5.25,,-4.355409457684367,
2012-02-17,7.2,,-4.618514480515417,
2012-02-18,5.3,,-4.939245074122724,
2012-02-19,4.45,,-5.7435829736661015,
2012-02-20,4.75,,-5.542030462250578,
2012-02-21,8.9,,-5.6420304622505775,
2012-02-22,6.4,,-6.2769163069994365,
2012-02-23,5.550000000000001,,-6.929975667730031,
2012-02-24,5.550000000000001,,-6.381756489647839,
2012-02-25,5.0,,-6.581756489647838,
2012-02-26,1.95,,-5.0024870832551445,
2012-02-27,2.25,,-4.155500781885282,
2012-02-28,3.0500000000000003,,-4.740614937136423,
2012-02-29,3.05,,-4.007007631200349,
2012-03-01,3.6,,-4.472395759054229,
2012-03-02,5.3,,-4.740066991930943,
2012-03-03,9.45,,-4.923856946268843,
2012-03-04,8.65,,-4.9069163069994355,
2012-03-05,4.45,,-3.153856946268843,
2012-03-06,3.35,,-3.8172359417026334,
2012-03-07,3.6,,-2.3967793206980668,
2012-03-08,8.1,,-3.689975667730029,
2012-03-09,7.2,,-3.251573841246011,
2012-03-10,6.65,,-4.717235941702633,
2012-03-11,4.75,,-2.969747357227747,
2012-03-12,4.45,,-1.2065966722962411,
2012-03-13,3.1,,-1.9460030649903057,
2012-03-14,4.45,,-1.6000669919309451,
2012-03-15,8.35,,-2.5972816038030904,
2012-03-16,6.4,,-4.442761055857885,
2012-03-17,5.3,,-5.556916306999438,
2012-03-18,2.2,,-4.155181147182088,
2012-03-19,3.05,,-3.968012197410397,
2012-03-20,5.0,,-4.248012197410397,
2012-03-21,5.0,,-4.8979665353099415,
2012-03-22,5.85,,-6.100523612935512,
2012-03-23,6.4,,-5.2666423343967,
2012-03-24,9.15,,-3.8646332019766065,
2012-03-25,7.75,,-2.2144048914743233,
2012-03-26,9.45,,-1.0820761243510357,
2012-03-27,10.55,,-1.664450553574781,
2012-03-28,8.9,,-1.3808889097391652,
2012-03-29,8.05,,-1.1773272659035476,
2012-03-30,7.2,,-1.0742679051729527,
2012-03-31,6.4,,-2.0899300056295735,
2012-04-01,6.65,,-1.9229893663601683,
2012-04-02,10.55,,-2.472213110652406,
2012-04-03,7.5,,-2.754541877775694,
2012-04-04,6.699999999999999,,-2.7562770375930463,
2012-04-05,6.1,,-2.2755007818852833,
2012-04-06,7.199999999999999,,-2.3931263526615383,
2012-04-07,8.9,,-1.9415738412460128,
2012-04-08,14.15,,-1.657464252204918,
2012-04-09,13.05,,-2.3089711015199854,
2012-04-10,13.35,,-1.5453181334834571,
2012-04-11,9.15,,-3.0349984987802605,
2012-04-12,9.75,,-3.6049984987802612,
2012-04-13,9.45,,-3.4911172202414487,
2012-04-14,9.45,,-3.2236742978670163,
2012-04-15,11.65,,-3.154222243072497,
2012-04-16,10.0,,-2.9552268092825424,
2012-04-17,7.2,,-2.3072816038030903,
2012-04-18,10.25,,-1.8454551197848257,
2012-04-19,9.45,,-1.2136286357665607,
2012-04-20,10.0,,-0.4492450741227253,
2012-04-21,12.2,,-1.487692562707199,
2012-04-22,15.8,,-2.9748158503784325,
2012-04-23,15.3,,-3.064496215675237,
2012-04-24,11.95,,-1.8826697316569714,
2012-04-25,12.8,,-1.5854551197848252,
2012-04-26,10.3,,-1.2233090010633632,
2012-04-27,9.7,,0.07491017701882766,
2012-04-28,12.2,,-1.2418021517482956,
2012-04-29,12.25,,0.2412572089822972,
2012-04-30,10.0,,0.4238599487083274,
2012-05-01,8.899999999999999,,2.0730836930005627,
2012-05-02,9.45,,0.9061430537311559,
2012-05-03,9.15,,1.091531181585037,
2012-05-04,9.15,,1.1615311815850369,
2012-05-05,9.15,,1.733266341402388,
2012-05-06,11.4,,2.491165884781382,
2012-05-07,15.0,,1.1926727340964505,
2012-05-08,13.85,,1.54066360167636,
2012-05-09,10.0,,2.1048188528179117,
2012-05-10,9.15,,2.0012572089822958,
2012-05-11,11.35,,2.282307437292798,
2012-05-12,15.55,,3.1287457934571816,
2012-05-13,17.5,,2.1921247888909727,
2012-05-14,19.75,,2.9267366610370926,
2012-05-15,16.9,,3.02500150121974,
2012-05-16,14.4,,2.575275473822478,
2012-05-17,12.25,,2.292444423594169,
2012-05-18,11.7,,3.226234377932069,
2012-05-19,13.3,,2.7587914555576396,
2012-05-20,13.05,,3.010572277475448,
2012-05-21,13.35,,2.4984261587539875,
2012-05-22,10.85,,1.0027183961969115,
2012-05-23,11.65,,0.4539512729092399,
2012-05-24,13.05,,1.1872846062425737,
2012-05-25,15.55,,0.5579695377494229,
2012-05-26,15.55,,2.492809720397823,
2012-05-27,14.45,,2.860480953274536,
2012-05-28,13.35,,3.5117138299868644,
2012-05-29,11.95,,2.9468279852380084,
2012-05-30,15.0,,1.9500699943704276,
2012-05-31,15.0,,3.9763257021329848,
2012-06-01,16.4,,3.1692480765622077,
2012-06-02,14.75,,3.539430724964034,
2012-06-03,13.3,,2.972992368799649,
2012-06-04,10.85,,4.269887345968598,
2012-06-05,10.8,,6.037558578845313,
2012-06-06,11.1,,6.7696133733658606,
2012-06-07,12.5,,7.133220679301934,
2012-06-08,11.65,,6.212764058297369,
2012-06-09,12.75,,5.455640770626135,
2012-06-10,14.45,,4.267512916744857,
2012-06-11,16.65,,3.9652298117220255,
2012-06-12,15.55,,3.531713829986864,
2012-06-13,13.6,,2.6801613185713378,
2012-06-14,13.6,,4.078608807155813,
2012-06-15,15.8,,5.544225245511978,
2012-06-16,18.05,,3.426280040032526,
2012-06-17,15.3,,4.4434489898042155,
2012-06-18,13.6,,4.693175017201476,
2012-06-19,14.7,,5.089156752361292,
2012-06-20,17.2,,3.505321135922937,
2012-06-21,17.799999999999997,,4.71997867016951,
2012-06-22,12.8,,5.735823419027958,
2012-06-23,12.5,,6.086554012635264,
2012-06-24,14.4,,6.4544535560142595,
2012-06-25,15.25,,7.854727528617001,
2012-06-26,14.45,,7.571942140489147,
2012-06-27,15.85,,7.75783255144805,
2012-06-28,16.95,,8.310115656470884,
2012-06-29,18.35,,8.512627071995999,
2012-06-30,16.65,,9.729522049164949,
2012-07-01,16.1,,12.112764058297367,
2012-07-02,15.3,,10.078837117658098,
2012-07-03,14.45,,7.033357665603304,
2012-07-04,15.0,,5.782946706699194,
2012-07-05,17.5,,6.156782323137552,
2012-07-06,18.05,,8.25561793957591,
2012-07-07,19.75,,8.123426158753988,
2012-07-08,21.35,,8.81774122724714,
2012-07-09,18.9,,8.81842615875399,
2012-07-10,17.5,,6.873768624507414,
2012-07-11,20.55,,7.697672734096454,
2012-07-12,19.450000000000003,,7.815001501219744,
2012-07-13,18.6,,7.803631638206042,
2012-07-14,20.0,,8.242261775192343,
2012-07-15,16.1,11.234109589041093,7.710663601676362,-2.8447731907174543
2012-07-16,19.700000000000003,11.2386301369863,10.189933008069056,-1.7285631450553538
2012-07-17,18.35,11.248493150684931,6.885366798023394,0.21614005129167602
2012-07-18,17.75,11.246986301369862,6.312307437292798,0.1907062613373398
2012-07-19,19.7,11.252328767123286,7.970115656470884,0.47755557640582946
2012-07-20,16.65,11.260684931506846,5.3420334646900605,0.047281603803091876
2012-07-21,18.9,11.253013698630136,6.387467254644398,1.2595190467254644
2012-07-22,16.4,11.24082191780822,5.536690998936637,-0.3775129167448572
2012-07-23,15.0,11.229315068493152,5.637695565146681,-1.8670106336398336
2012-07-24,17.75,11.2186301369863,6.834910177018829,-0.3035403140051294
2012-07-25,19.75,11.214794520547946,7.497786889347596,1.0374185901044584
2012-07-26,19.200000000000003,11.207945205479453,8.308882779758557,-0.3168279852380067
2012-07-27,16.4,11.212602739726027,6.835640770626134,-1.6482435103521622
2012-07-28,17.75,11.223150684931506,6.810891912178646,-0.2840425971101519
2012-07-29,18.9,11.226164383561644,8.022033464690063,-0.34819784825170785
2012-07-30,16.35,11.22082191780822,6.870252642772252,-1.7410745605804703
2012-07-31,18.35,11.21931506849315,7.753083693000565,-0.6223987614937139
2012-08-01,18.6,11.21945205479452,6.905869081128419,0.47467886407706317
2012-08-02,17.75,11.225479452054795,6.523312003502847,0.0012085444423579617
2012-08-03,20.0,11.234657534246574,8.85491017701883,-0.08956771126540453
2012-08-04,25.3,11.224109589041094,11.638471820854447,2.4374185901044605
2012-08-05,25.85,11.211917808219175,10.34075492587728,4.297327265903547
2012-08-06,21.95,11.214246575342463,9.324362231813351,1.4113911928441851
2012-08-07,18.05,11.212739726027394,7.739293738662666,-0.9020334646900592
2012-08-08,18.6,11.203561643835613,7.538837117658101,-0.14239876149371256
2012-08-09,19.4,11.200410958904106,8.45249008569463,-0.25290104459873675
2012-08-10,18.9,11.188219178082187,8.217147619941203,-0.5053667980233918
2012-08-11,20.8,11.178904109589036,10.132855382498285,-0.5117594920873199
2012-08-12,22.8,11.17356164383561,9.679841683868146,1.946596672296245
2012-08-13,22.8,11.172739726027391,8.844179583411524,2.7830806905610856
2012-08-14,21.4,11.181917808219174,8.270891912178646,1.9471902796021787
2012-08-15,23.9,11.193972602739722,8.914270907612439,3.791756489647838
2012-08-16,26.35,11.20383561643835,10.858197848251708,4.287966535309943
2012-08-17,24.45,11.214520547945202,10.122307437292802,3.113172014761995
2012-08-18,18.05,11.215342465753421,8.169476387064492,-1.3348188528179126
2012-08-19,19.15,11.219726027397257,8.264955839119283,-0.33468186651654186
2012-08-20,20.3,11.223561643835614,7.3447731907174605,1.731665165446926
2012-08-21,18.3,11.227397260273971,6.290480953274535,0.7821217864514942
2012-08-22,17.75,11.215205479452052,7.123585976105584,-0.5887914555576366
2012-08-23,17.5,11.212191780821914,7.321302871082756,-1.0334946519046708
2012-08-24,16.1,11.213013698630133,6.386188715831615,-1.499202414461747
2012-08-25,18.9,11.216849315068492,7.58513848752111,0.09801219741039624
2012-08-26,16.65,11.222191780821916,7.766964971539377,-2.339156752361294
2012-08-27,18.6,11.235890410958904,8.694453556014263,-1.3303439669731656
2012-08-28,17.5,11.247260273972602,6.837604240945769,-0.5848645149183707
2012-08-29,18.05,11.258630136986302,7.016097391630701,-0.2247275286170014
2012-08-30,17.8,11.275479452054793,6.095138487521111,0.4293820604240972
2012-08-31,16.4,11.301369863013697,5.909522049164948,-0.8108919121786462
2012-09-01,16.15,11.312739726027397,6.290617939575904,-1.4533576656033027
2012-09-02,15.55,11.305068493150685,5.994407893913804,-1.7494763870644885
2012-09-03,17.8,11.29958904109589,6.113357665603305,0.38705329330080573
2012-09-04,17.75,11.3086301369863,5.89340332770376,0.5479665353099392
2012-09-05,18.9,11.316164383561643,6.83810652405079,0.745729092387565
2012-09-06,21.35,11.329863013698633,8.931987802589603,1.0881491837117654
2012-09-07,22.75,11.326712328767124,8.913083693000564,2.510203978232312
2012-09-08,19.15,11.326027397260274,6.611074560580472,1.2128980421592521
2012-09-09,16.4,11.323835616438357,5.608791455557638,-0.5326270719959965
2012-09-10,15.85,11.333698630136986,5.602490085694625,-1.0861887158316117
2012-09-11,14.45,11.352739726027398,6.977467254644397,-3.8802069806717956
2012-09-12,16.1,11.373150684931508,5.952216113091885,-1.2253667980233915
2012-09-13,19.75,11.38986301369863,6.328974103959464,2.0311628823419063
2012-09-14,18.6,11.398904109589042,6.978974103959465,0.2221217864514946
2012-09-15,16.65,11.401917808219178,5.842353099393254,-0.5942709076124331
2012-09-16,16.9,11.404931506849318,5.372444423594169,0.12262406955651173
2012-09-17,19.75,11.42027397260274,5.664042597110153,2.6656834302871077
2012-09-18,19.75,11.43178082191781,5.639248076562207,2.6789711015199833
2012-09-19,17.799999999999997,11.439315068493151,6.116736661037091,0.24394827046975465
2012-09-20,14.7,11.442328767123287,5.044773190717457,-1.7871019578407452
2012-09-21,14.45,11.44,4.608654469256272,-1.5986544692562719
2012-09-22,15.55,11.43767123287671,4.040206980671797,0.07212178645149425
2012-09-23,14.7,11.430136986301369,2.5565996747357222,0.7132633389629084
2012-09-24,15.55,11.437808219178082,2.9371476199412014,1.175044160880717
