date,temp_max,temp_min,temp_mean,precipitation,wind_speed_max,weather,year,month,day,day_of_year,day_of_week,time_index,doy_sin,doy_cos,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_7,temp_lag_14,temp_roll_mean_7,temp_roll_std_7,temp_roll_mean_14,temp_roll_std_14,temp_roll_mean_30,temp_roll_std_30
2012-01-15,1.1,-3.3,-1.1,5.3,3.2,snow,2012,1,15,15,6,14,0.2551824131233728,0.9668929289391521,2.5,1.1,2.2,6.4,8.9,3.607142857142857,2.2910020681331726,5.239285714285714,2.7872773157984896,5.239285714285714,2.7872773157984896
2012-01-16,1.7,-2.8,-0.5499999999999999,2.5,5.0,snow,2012,1,16,16,0,15,0.2717767384711357,0.9623603298276545,-1.1,2.5,1.1,7.2,6.699999999999999,2.535714285714286,2.510430621379906,4.5249999999999995,3.0462934602815017,4.816666666666666,3.145329114432262
2012-01-17,3.3,0.0,1.65,8.1,5.6,snow,2012,1,17,17,1,16,0.2882906407095177,0.9575429528116719,-0.5499999999999999,-1.1,2.5,3.35,9.45,1.4285714285714286,1.6832154602766345,4.007142857142857,3.257054895669797,4.48125,3.3216900818709743
2012-01-18,0.0,-2.8,-1.4,19.8,5.0,snow,2012,1,18,18,2,17,0.3047192331091634,0.9524422234305676,1.65,-0.5499999999999999,-1.1,2.5,8.899999999999999,1.1857142857142857,1.468762031359029,3.45,2.902187503882599,4.314705882352941,3.288700574784551
2012-01-19,-1.1,-2.8,-1.95,15.2,1.6,snow,2012,1,19,19,3,18,0.321057654185271,0.9470596510722283,-1.4,1.65,-0.5499999999999999,2.2,5.85,0.6285714285714287,1.6191193961680574,2.7142857142857144,2.713741992967572,3.9972222222222222,3.4631875924722295
2012-01-20,7.2,-1.1,3.05,13.5,2.3,snow,2012,1,20,20,4,19,0.3373010691361842,0.9413968285264122,-1.95,-1.4,1.65,1.1,3.3000000000000003,0.03571428571428575,1.7053138239324848,2.1571428571428575,2.819087218809087,3.6842105263157894,3.631652999499254
2012-01-21,8.3,3.3,5.800000000000001,3.0,8.2,rain,2012,1,21,21,5,20,0.3534446712740877,0.9354554315134164,3.05,-1.95,-1.4,2.5,5.0,0.31428571428571433,2.035459466089962,2.1392857142857147,2.8120741435835215,3.6525,3.537635063443552
2012-01-22,6.7,2.2,4.45,6.1,4.8,rain,2012,1,22,22,6,21,0.3694836834473831,0.9292372181882051,5.800000000000001,3.05,-1.95,-1.1,6.4,0.7857142857142858,2.846593620117778,2.1964285714285716,2.8819374016125323,3.7547619047619043,3.479759501815634
2012-01-23,8.3,1.1,4.7,0.0,3.6,rain,2012,1,23,23,0,22,0.38541335945432564,0.9227440286201427,4.45,5.800000000000001,3.05,-0.5499999999999999,7.2,1.5785714285714287,3.002479134378947,2.0571428571428574,2.7048288117917756,3.786363636363636,3.3991309049654013
2012-01-24,10.0,2.2,6.1,8.6,5.1,rain,2012,1,24,24,1,23,0.4012289854475009,0.9159777842484877,4.7,4.45,5.800000000000001,1.65,3.35,2.3285714285714287,3.0376604405991383,1.8785714285714286,2.4050998928330403,3.8260869565217392,3.3264391815360908
2012-01-25,8.9,4.4,6.65,8.1,5.4,rain,2012,1,25,25,2,24,0.4169258813287287,0.908940487313808,6.1,4.7,4.45,-1.4,2.5,2.9642857142857144,3.3241182146190145,2.075,2.6357563503597112,3.920833333333333,3.2862664379884468
2012-01-26,8.9,1.1,5.0,4.8,4.8,rain,2012,1,26,26,3,25,0.4324994021339788,0.901634220265486,6.65,6.1,4.7,-1.95,2.2,4.114285714285715,2.9319666729737177,2.3714285714285714,2.9066709933764896,4.03,3.2630507198019463
2012-01-27,6.7,-2.2,2.25,0.0,1.4,drizzle,2012,1,27,27,4,26,0.44794493940789115,0.8940611451454876,5.0,6.65,6.1,3.05,1.1,5.107142857142857,1.203269355903799,2.5714285714285716,2.9891286539542112,4.0673076923076925,3.2027782410804626
2012-01-28,6.7,0.6,3.65,0.0,2.2,rain,2012,1,28,28,5,27,0.4632579225674917,0.88622350294858,2.25,5.0,6.65,5.800000000000001,2.5,4.992857142857143,1.4449419167762914,2.6535714285714285,2.961253910976688,4.0,3.159996348586011
2012-01-29,9.4,3.9,6.65,27.7,4.5,rain,2012,1,29,29,6,28,0.4784338202547012,0.8781236129591848,3.65,2.25,5.0,4.45,-1.1,4.685714285714285,1.4730111692590466,2.7357142857142853,2.972594604267236,3.9875000000000003,3.101631141954301
2012-01-30,8.3,6.1,7.2,3.6,5.1,rain,2012,1,30,30,0,29,0.49346814167723735,0.8697638720650646,6.65,3.65,2.25,4.7,-0.5499999999999999,5.0,1.639613775659784,3.289285714285714,2.92457614098105,4.0793103448275865,3.085609376067372
2012-01-31,9.4,6.1,7.75,1.8,3.9,rain,2012,1,31,31,1,30,0.5083564379375122,0.8611467540480452,7.2,6.65,3.65,6.1,1.65,5.357142857142857,1.825154918408428,3.842857142857143,2.875015527908378,4.183333333333334,3.0850119692757616
2012-02-01,8.9,3.3,6.1,13.5,2.7,rain,2012,2,1,32,2,31,0.5230943033491326,0.8522748088519838,7.75,7.2,6.65,6.65,-1.4,5.5928571428571425,2.031917930476149,4.2785714285714285,2.9775257078083044,4.145,3.031056206034116
2012-02-02,8.3,1.7,5.0,0.0,2.6,sun,2012,2,2,33,3,32,0.5376773767406141,0.8431506618282,6.1,7.75,7.2,5.0,-1.95,5.514285714285714,1.9945162917597934,4.814285714285715,2.5162111758194468,4.125,3.0155559331915724
2012-02-03,14.4,2.2,8.3,0.0,5.3,sun,2012,2,3,34,4,33,0.5521013427459208,0.8337770129585915,5.0,6.1,7.75,2.25,3.05,5.514285714285714,1.9945162917597934,5.310714285714286,1.5965321278210585,3.9766666666666666,2.8494625425874958
2012-02-04,15.6,5.0,10.3,0.0,4.3,sun,2012,2,4,35,5,34,0.5663619330814524,0.8241566360566663,8.3,5.0,6.1,3.65,5.800000000000001,6.378571428571429,1.6198912367957365,5.685714285714285,1.6406411236779659,3.9566666666666666,2.8156194067519427
2012-02-05,13.9,1.7,7.8,0.0,2.9,sun,2012,2,5,36,6,35,0.580454927809098,0.8142923779467267,10.3,8.3,5.0,6.65,4.45,7.328571428571429,1.7009451154326796,6.007142857142857,2.0535950786980255,4.105,3.0280114676592396
2012-02-06,16.1,1.7,8.9,0.0,5.0,sun,2012,2,6,37,0,36,0.5943761565849831,0.804187157621448,7.8,10.3,8.3,7.2,4.7,7.492857142857143,1.679888034817742,6.246428571428572,2.0533709887846423,4.255,3.097422454569116
2012-02-07,15.6,7.8,11.7,0.3,5.3,rain,2012,2,7,38,1,37,0.6081214998935418,0.7938439653781019,8.9,7.8,10.3,7.75,6.1,7.735714285714287,1.7518357718201147,6.546428571428571,2.115916266857375,4.385000000000001,3.209580217476079
2012-02-08,10.0,5.0,7.5,2.8,2.7,rain,2012,2,8,39,2,38,0.6216868902665479,0.7832658619336791,11.7,8.9,7.8,6.1,6.65,8.3,2.305789814069503,6.946428571428571,2.5164431771324116,4.5616666666666665,3.4603837572047462
2012-02-09,11.1,7.8,9.45,2.5,2.4,rain,2012,2,9,40,3,39,0.6350683134867438,0.7724559775191742,7.5,11.7,8.9,5.0,5.0,8.5,2.1377558326431965,7.007142857142857,2.518993781320167,4.571666666666667,3.4686945604972177
2012-02-10,12.8,6.7,9.75,2.5,3.0,rain,2012,2,10,41,4,40,0.6482618097757122,0.7614175109532997,9.45,7.5,11.7,8.3,2.25,9.135714285714286,1.4856856682225588,7.325,2.5269889348636014,4.775,3.5718668450294575
2012-02-11,8.9,5.6,7.25,0.8,3.4,rain,2012,2,11,42,5,41,0.6612634749656386,0.7501537286959042,9.75,9.45,7.5,10.3,3.65,9.342857142857143,1.4504104509381068,7.860714285714287,2.132548003917143,5.016666666666667,3.6568861196315674
2012-02-12,8.3,5.0,6.65,1.0,1.3,rain,2012,2,12,43,6,42,0.6740694616546161,0.7386679638813748,7.25,9.75,9.45,7.8,6.65,8.907142857142857,1.5682869028095003,8.117857142857144,1.7723959384509331,5.1850000000000005,3.638945233689716
2012-02-13,7.2,4.4,5.800000000000001,11.4,1.4,rain,2012,2,13,44,0,43,0.6866759803451553,0.726963615332308,6.65,7.25,9.75,8.9,7.2,8.742857142857144,1.7529566859615069,8.117857142857142,1.7723959384509331,5.37,3.564421895381615
2012-02-14,6.7,1.1,3.9,2.5,3.1,rain,2012,2,14,45,1,44,0.6990793005655562,0.7150441465537444,5.800000000000001,6.65,7.25,11.7,7.75,8.299999999999999,2.069621543503387,8.017857142857142,1.8652291200626456,5.48,3.5234827989480464
2012-02-15,7.2,0.6,3.9,0.0,1.8,drizzle,2012,2,15,46,2,45,0.7112757519738152,0.7029130847082615,3.9,5.800000000000001,6.65,7.5,6.1,7.185714285714285,2.0334113958473625,7.742857142857142,2.1671371706662956,5.6466666666666665,3.313502504989956
2012-02-16,7.2,3.3,5.25,1.8,2.1,rain,2012,2,16,47,3,46,0.7232617254437388,0.6905740195722294,3.9,3.9,5.800000000000001,9.45,5.0,6.671428571428572,2.36834280015534,7.585714285714286,2.366060387699722,5.795000000000001,3.120520237352121
2012-02-17,10.0,4.4,7.2,17.3,3.4,rain,2012,2,17,48,4,47,0.7350336741329412,0.6780306024735382,5.25,3.9,3.9,9.75,8.3,6.071428571428571,2.0588947566710734,7.603571428571429,2.3459018509957947,5.915000000000001,3.0233331115588764
2012-02-18,6.7,3.9,5.3,6.4,8.1,rain,2012,2,18,49,5,48,0.746588114532413,0.6652865452111116,7.2,5.25,3.9,7.25,10.3,5.707142857142856,1.4287023749509546,7.525,2.339193648049884,6.201666666666667,2.695797602314328
2012-02-19,6.7,2.2,4.45,0.0,4.7,sun,2012,2,19,50,6,49,0.7579216274973472,0.6523456189565257,5.3,7.2,5.25,6.65,7.8,5.42857142857143,1.2575959681263464,7.167857142857144,2.2633881293706177,6.443333333333333,2.223415101289833
2012-02-20,7.8,1.7,4.75,3.0,2.9,rain,2012,2,20,51,0,50,0.7690308592589181,0.6392116531380588,4.45,5.3,7.2,5.800000000000001,8.9,5.114285714285714,1.1735680230655272,6.928571428571429,2.3661648851540895,6.489999999999999,2.16362562890833
2012-02-21,10.0,7.8,8.9,0.8,7.5,rain,2012,2,21,52,1,51,0.7799125224167177,0.6258885343075018,4.75,4.45,5.3,3.9,11.7,4.964285714285714,1.1378760498234992,6.632142857142858,2.360134215777467,6.455,2.183573076246899
2012-02-22,10.0,2.8,6.4,8.6,5.9,rain,2012,2,22,53,2,52,0.7905633969115482,0.612380204990065,8.9,4.75,4.45,3.9,7.5,5.678571428571429,1.7585166909588816,6.432142857142857,1.986745226093823,6.6033333333333335,2.1937974214673477
2012-02-23,8.3,2.8,5.550000000000001,0.0,3.9,sun,2012,2,23,54,3,53,0.8009803309782905,0.5986906625177214,6.4,8.9,4.75,5.25,9.45,6.035714285714286,1.5821173275377711,6.353571428571429,1.9628731184467532,6.66,2.164701142070831
2012-02-24,6.7,4.4,5.550000000000001,11.4,3.5,rain,2012,2,24,55,4,54,0.8111602420785621,0.5848239578463322,5.550000000000001,6.4,8.9,7.2,9.75,6.078571428571429,1.561211373383173,6.075,1.7554037449237456,6.641666666666667,2.1719244340276753
2012-02-25,7.2,2.8,5.0,0.0,6.4,rain,2012,2,25,56,5,55,0.8211001178128892,0.5707841943569036,5.550000000000001,5.550000000000001,6.4,5.3,7.25,5.8428571428571425,1.4864467059144202,5.7749999999999995,1.4024360673759517,6.605,2.181044909338578
2012-02-26,5.0,-1.1,1.95,1.3,3.4,snow,2012,2,26,57,6,56,0.8307970168121247,0.5565755266413303,5.0,5.550000000000001,5.550000000000001,4.45,6.65,5.8,1.5088627063675104,5.614285714285714,1.3482793267187423,6.605,2.181044909338578
2012-02-27,6.7,-2.2,2.25,0.0,3.0,sun,2012,2,27,58,0,57,0.8402480696078469,0.5422021592729844,1.95,5.0,5.550000000000001,4.75,5.800000000000001,5.442857142857143,2.0723232878882176,5.278571428571429,1.626902943267726,6.595,2.2022852550992544
2012-02-28,6.7,-0.6,3.0500000000000003,3.6,4.2,snow,2012,2,28,59,1,58,0.8494504794814806,0.527668345562516,2.25,1.95,5.0,8.9,3.9,5.085714285714286,2.4009918585372025,5.0249999999999995,1.8061593336307684,6.548333333333333,2.280293513069563
2012-02-29,5.0,1.1,3.05,0.8,7.0,snow,2012,2,29,60,2,59,0.8584015232918917,0.512978386299228,3.0500000000000003,2.25,1.95,6.4,3.9,4.250000000000001,1.7932744723921545,4.964285714285714,1.8603585853093132,6.428333333333333,2.3678042838116466
2012-03-01,6.1,1.1,3.6,0.0,3.1,sun,2012,3,1,61,3,60,0.8670985522812081,0.4981366284784055,3.05,3.0500000000000003,2.25,5.550000000000001,5.25,3.7714285714285714,1.5550608623826638,4.903571428571429,1.9109466326841877,6.290000000000001,2.441254623739818
