date,temp_max,temp_min,temp_mean,precipitation,wind_speed_max,year,month,day,day_of_year,day_of_week,time_index,doy_sin,doy_cos,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_7,temp_lag_14,temp_roll_mean_7,temp_roll_std_7,temp_roll_mean_14,temp_roll_std_14,temp_roll_mean_30,temp_roll_std_30
2010-01-15,54.6,46.2,49.90833333333333,0.0,,2010,1,15,15,4,14,0.2551824131233728,0.9668929289391521,49.86666666666667,49.7625,49.73333333333333,49.475,49.17083333333333,49.66488095238095,0.13601592071456722,49.53244047619047,0.1860462056286441,49.53244047619047,0.1860462056286441
2010-01-16,54.6,46.2,49.90833333333333,0.0,,2010,1,16,16,5,15,0.2717767384711357,0.9623603298276545,49.90833333333333,49.86666666666667,49.7625,49.5375,49.30416666666667,49.72678571428572,0.13378519662496322,49.585119047619045,0.18009756886236272,49.5575,0.2038639641354392
2010-01-17,54.7,46.2,49.95,0.0,,2010,1,17,17,6,16,0.2882906407095177,0.9575429528116719,49.90833333333333,49.90833333333333,49.86666666666667,49.60416666666666,49.39166666666667,49.779761904761905,0.11893695253053446,49.62827380952381,0.179982330651548,49.579427083333336,0.2155981598968912
2010-01-18,54.7,46.2,49.9625,0.0,,2010,1,18,18,0,17,0.3047192331091634,0.9524422234305676,49.95,49.90833333333333,49.90833333333333,49.675,49.44583333333333,49.82916666666666,0.10483121354508645,49.66815476190476,0.18530126157066967,49.60122549019608,0.22727803534725222
2010-01-19,54.8,46.4,50.0625,0.0,,2010,1,19,19,1,18,0.321057654185271,0.9470596510722283,49.9625,49.95,49.90833333333333,49.73333333333333,49.49166666666667,49.8702380952381,0.08957295067187396,49.70505952380952,0.1890299303296672,49.62129629629629,0.23636376332451284
2010-01-20,54.9,46.4,50.1375,0.0,,2010,1,20,20,2,19,0.3373010691361842,0.9413968285264122,50.0625,49.9625,49.95,49.7625,49.52916666666667,49.91726190476191,0.0920895727973126,49.74583333333333,0.20066662407359398,49.64451754385965,0.2510166544001106
2010-01-21,54.9,46.5,50.17083333333333,0.0,,2010,1,21,21,3,20,0.3534446712740877,0.9354554315134164,50.1375,50.0625,49.9625,49.86666666666667,49.46666666666667,49.97083333333334,0.09604445344234608,49.78928571428571,0.21545962031282562,49.66916666666667,0.26803854898631635
2010-01-22,55.2,46.6,50.30833333333334,0.0,,2010,1,22,22,4,21,0.3694836834473831,0.9292372181882051,50.17083333333333,50.1375,50.0625,49.90833333333333,49.475,50.01428571428572,0.10899523070970263,49.83958333333334,0.21654181560608843,49.69305555555555,0.28326081588319657
2010-01-23,55.3,46.6,50.35416666666666,0.0,,2010,1,23,23,5,22,0.38541335945432564,0.9227440286201427,50.30833333333334,50.17083333333333,50.1375,49.90833333333333,49.5375,50.07142857142857,0.14356224798887662,49.89910714285714,0.22305174179481954,49.721022727272725,0.30597953252889104
2010-01-24,55.3,46.5,50.35,0.0,,2010,1,24,24,6,23,0.4012289854475009,0.9159777842484877,50.35416666666666,50.30833333333334,50.17083333333333,49.95,49.60416666666666,50.13511904761905,0.15737754540893337,49.95744047619048,0.2279435809556796,49.74855072463768,0.32679817403480066
